team_number,vanguard_1,vanguard_2,duelist_1,duelist_2,strategist_1,strategist_2,enhancement_details
1,Angela,Thor,Iron Man,Star-Lord,Adam Warlock,Ultron,Adam Warlock <- Ultron; Angela <- Star-Lord; Iron Man <- Thor; Star-Lord <- Adam Warlock; Thor <- Angela; Ultron <- Iron Man
2,Angela,Thor,Star-Lord,Storm,Adam Warlock,Luna Snow,Adam Warlock <- Storm; Angela <- Star-Lord; Luna Snow <- Adam Warlock; Star-Lord <- Adam Warlock; Storm <- Thor; Thor <- Angela
3,Angela,Thor,Star-Lord,Storm,Adam Warlock,Mantis,"Adam Warlock <- Storm; Angela <- Star-Lord; Mantis <- Adam Warlock, Star-Lord; Star-Lord <- Adam Warlock; Storm <- Thor; Thor <- Angela"
4,Angela,Venom,Hela,Phoenix,Deadpool,Loki,Angela <- Loki; Deadpool <- Hela; Hela <- Venom; Loki <- Hela; Phoenix <- Hela; Venom <- Phoenix
5,Angela,Groot,Mister Fantastic,Star-Lord,Mantis,Rocket Raccoon,Angela <- Star-Lord; Groot <- Mantis; Mantis <- Star-Lord; Mister Fantastic <- Rocket Raccoon; Rocket Raccoon <- Groot; Star-Lord <- Groot
6,Angela,Groot,Star-Lord,The Punisher,Mantis,Rocket Raccoon,Angela <- Star-Lord; Groot <- Mantis; Mantis <- Star-Lord; Rocket Raccoon <- Groot; Star-Lord <- Groot; The Punisher <- Rocket Raccoon
7,Angela,Venom,Hela,Phoenix,Jeff the Land Shark,Loki,Angela <- Loki; Hela <- Venom; Jeff the Land Shark <- Venom; Loki <- Hela; Phoenix <- Hela; Venom <- Phoenix
8,Devil Dinosaur,Venom,Hela,Phoenix,Deadpool,Jeff the Land Shark,"Deadpool <- Hela; Devil Dinosaur <- Jeff the Land Shark; Hela <- Venom; Jeff the Land Shark <- Deadpool, Venom; Phoenix <- Hela; Venom <- Phoenix"
9,Groot,Venom,Hela,Phoenix,Deadpool,Jeff the Land Shark,"Deadpool <- Hela; Groot <- Jeff the Land Shark; Hela <- Venom; Jeff the Land Shark <- Deadpool, Venom; Phoenix <- Hela; Venom <- Phoenix"
10,Thor,Venom,Hela,Phoenix,Deadpool,Jeff the Land Shark,"Deadpool <- Hela; Hela <- Venom; Jeff the Land Shark <- Deadpool, Venom; Phoenix <- Hela; Thor <- Hela; Venom <- Phoenix"
11,Thor,Venom,Hela,Phoenix,Deadpool,Loki,Deadpool <- Hela; Hela <- Venom; Loki <- Hela; Phoenix <- Hela; Thor <- Hela; Venom <- Phoenix
12,Devil Dinosaur,Groot,Star-Lord,The Punisher,Mantis,Rocket Raccoon,Devil Dinosaur <- The Punisher; Groot <- Mantis; Mantis <- Star-Lord; Rocket Raccoon <- Groot; Star-Lord <- Groot; The Punisher <- Rocket Raccoon
