"team_number","hero_1","hero_2","hero_3","hero_4","hero_5","hero_6","enhancement_details"
"1","Adam Warlock","Angela","Black Panther","Star-Lord","Storm","Thor","Adam Warlock <- Storm; Angela <- Star-Lord; Black Panther <- Storm; Star-Lord <- Adam Warlock; Storm <- Thor; Thor <- Angela"
"2","Adam Warlock","Angela","Captain America","Star-Lord","Storm","Thor","Adam Warlock <- Storm; Angela <- Star-Lord; Captain America <- Thor; Star-Lord <- Adam Warlock; Storm <- Thor; Thor <- Angela"
"3","Adam Warlock","Angela","Human Torch","Star-Lord","Storm","Thor","Adam Warlock <- Storm; Angela <- Star-Lord; Human Torch <- Storm; Star-Lord <- Adam Warlock; Storm <- Thor; Thor <- Angela"
"4","Adam Warlock","Angela","Iron Man","Star-Lord","Storm","Thor","Adam Warlock <- Storm; Angela <- Star-Lord; Iron Man <- Thor; Star-Lord <- Adam Warlock; Storm <- Thor; Thor <- Angela"
"5","Adam Warlock","Angela","Iron Man","Star-Lord","Thor","Ultron","Adam Warlock <- Ultron; Angela <- Star-Lord; Iron Man <- Thor; Star-Lord <- Adam Warlock; Thor <- Angela; Ultron <- Iron Man"
"6","Adam Warlock","Angela","Loki","Mantis","Storm","Thor","Adam Warlock <- Storm; Angela <- Loki; Loki <- Mantis; Mantis <- Adam Warlock; Storm <- Thor; Thor <- Angela"
"7","Adam Warlock","Angela","Luna Snow","Star-Lord","Storm","Thor","Adam Warlock <- Storm; Angela <- Star-Lord; Luna Snow <- Adam Warlock; Star-Lord <- Adam Warlock; Storm <- Thor; Thor <- Angela"
"8","Adam Warlock","Angela","Mantis","Star-Lord","Storm","Thor","Adam Warlock <- Storm; Angela <- Star-Lord; Mantis <- Adam Warlock, Star-Lord; Star-Lord <- Adam Warlock; Storm <- Thor; Thor <- Angela"
"9","Adam Warlock","Black Panther","Magik","Peni Parker","The Hood","Ultron","Adam Warlock <- Ultron; Black Panther <- Magik; Magik <- The Hood; Peni Parker <- Black Panther; The Hood <- Magik; Ultron <- Peni Parker"
"10","Adam Warlock","Groot","Mantis","Peni Parker","Rocket Raccoon","Ultron","Adam Warlock <- Ultron; Groot <- Mantis; Mantis <- Adam Warlock; Peni Parker <- Rocket Raccoon; Rocket Raccoon <- Groot; Ultron <- Peni Parker"
"11","Adam Warlock","Hela","Jeff the Land Shark","Phoenix","Storm","Venom","Adam Warlock <- Storm; Hela <- Venom; Jeff the Land Shark <- Venom; Phoenix <- Hela; Storm <- Jeff the Land Shark; Venom <- Phoenix"
"12","Adam Warlock","Hela","Luna Snow","Namor","Storm","Thor","Adam Warlock <- Storm; Hela <- Namor; Luna Snow <- Adam Warlock; Namor <- Luna Snow; Storm <- Thor; Thor <- Hela"
"13","Adam Warlock","Hela","Phoenix","Storm","Thor","Venom","Adam Warlock <- Storm; Hela <- Venom; Phoenix <- Hela; Storm <- Thor; Thor <- Hela; Venom <- Phoenix"
"14","Adam Warlock","Peni Parker","Rocket Raccoon","Spider-Man","Squirrel Girl","Ultron","Adam Warlock <- Ultron; Peni Parker <- Rocket Raccoon; Rocket Raccoon <- Squirrel Girl; Spider-Man <- Peni Parker; Squirrel Girl <- Spider-Man; Ultron <- Peni Parker"
"15","Angela","Black Widow","Hela","Loki","Phoenix","Venom","Angela <- Loki; Black Widow <- Phoenix; Hela <- Venom; Loki <- Hela; Phoenix <- Hela; Venom <- Phoenix"
"16","Angela","Captain America","Groot","Mantis","Star-Lord","Thor","Angela <- Star-Lord; Captain America <- Thor; Groot <- Mantis; Mantis <- Star-Lord; Star-Lord <- Groot; Thor <- Angela"
"17","Angela","Cyclops","Hela","Loki","Phoenix","Venom","Angela <- Loki; Cyclops <- Phoenix; Hela <- Venom; Loki <- Hela; Phoenix <- Hela; Venom <- Phoenix"
"18","Angela","Deadpool","Hela","Loki","Phoenix","Venom","Angela <- Loki; Deadpool <- Hela; Hela <- Venom; Loki <- Hela; Phoenix <- Hela; Venom <- Phoenix"
"19","Angela","Emma Frost","Groot","Loki","Mantis","Star-Lord","Angela <- Star-Lord, Loki; Emma Frost <- Mantis; Groot <- Mantis; Loki <- Mantis; Mantis <- Star-Lord; Star-Lord <- Groot"
"20","Angela","Emma Frost","Groot","Magneto","Mantis","Star-Lord","Angela <- Star-Lord; Emma Frost <- Mantis; Groot <- Mantis; Magneto <- Emma Frost; Mantis <- Star-Lord; Star-Lord <- Groot"
"21","Angela","Emma Frost","Groot","Mantis","Psylocke","Star-Lord","Angela <- Star-Lord; Emma Frost <- Mantis; Groot <- Mantis; Mantis <- Star-Lord; Psylocke <- Emma Frost; Star-Lord <- Groot"
"22","Angela","Emma Frost","Groot","Mantis","Rocket Raccoon","Star-Lord","Angela <- Star-Lord; Emma Frost <- Mantis; Groot <- Mantis; Mantis <- Star-Lord; Rocket Raccoon <- Groot; Star-Lord <- Groot"
"23","Angela","Emma Frost","Groot","Mantis","Star-Lord","Thor","Angela <- Star-Lord; Emma Frost <- Mantis; Groot <- Mantis; Mantis <- Star-Lord; Star-Lord <- Groot; Thor <- Angela"
"24","Angela","Groot","Iron Man","Mantis","Star-Lord","Thor","Angela <- Star-Lord; Groot <- Mantis; Iron Man <- Thor; Mantis <- Star-Lord; Star-Lord <- Groot; Thor <- Angela"
"25","Angela","Groot","Jubilee","Mantis","Star-Lord","The Hood","Angela <- Star-Lord; Groot <- Mantis; Jubilee <- The Hood; Mantis <- Star-Lord; Star-Lord <- Groot; The Hood <- Jubilee"
"26","Angela","Groot","Loki","Mantis","Rocket Raccoon","Star-Lord","Angela <- Star-Lord, Loki; Groot <- Mantis; Loki <- Mantis; Mantis <- Star-Lord; Rocket Raccoon <- Groot; Star-Lord <- Groot"
"27","Angela","Groot","Loki","Mantis","Star-Lord","Thor","Angela <- Star-Lord, Loki; Groot <- Mantis; Loki <- Mantis; Mantis <- Star-Lord; Star-Lord <- Groot; Thor <- Angela"
"28","Angela","Groot","Magik","Mantis","Star-Lord","The Hood","Angela <- Star-Lord; Groot <- Mantis; Magik <- The Hood; Mantis <- Star-Lord; Star-Lord <- Groot; The Hood <- Magik"
"29","Angela","Groot","Mantis","Mister Fantastic","Rocket Raccoon","Star-Lord","Angela <- Star-Lord; Groot <- Mantis; Mantis <- Star-Lord; Mister Fantastic <- Rocket Raccoon; Rocket Raccoon <- Groot; Star-Lord <- Groot"
"30","Angela","Groot","Mantis","Peni Parker","Rocket Raccoon","Star-Lord","Angela <- Star-Lord; Groot <- Mantis; Mantis <- Star-Lord; Peni Parker <- Rocket Raccoon; Rocket Raccoon <- Groot; Star-Lord <- Groot"
"31","Angela","Groot","Mantis","Rocket Raccoon","Star-Lord","The Punisher","Angela <- Star-Lord; Groot <- Mantis; Mantis <- Star-Lord; Rocket Raccoon <- Groot; Star-Lord <- Groot; The Punisher <- Rocket Raccoon"
"32","Angela","Groot","Mantis","Rocket Raccoon","Star-Lord","Thor","Angela <- Star-Lord; Groot <- Mantis; Mantis <- Star-Lord; Rocket Raccoon <- Groot; Star-Lord <- Groot; Thor <- Angela"
"33","Angela","Groot","Mantis","Star-Lord","Storm","Thor","Angela <- Star-Lord; Groot <- Mantis; Mantis <- Star-Lord; Star-Lord <- Groot; Storm <- Thor; Thor <- Angela"
"34","Angela","Hela","Jeff the Land Shark","Loki","Phoenix","Venom","Angela <- Loki; Hela <- Venom; Jeff the Land Shark <- Venom; Loki <- Hela; Phoenix <- Hela; Venom <- Phoenix"
"35","Angela","Hela","Loki","Phoenix","Spider-Man","Venom","Angela <- Loki; Hela <- Venom; Loki <- Hela; Phoenix <- Hela; Spider-Man <- Venom; Venom <- Phoenix"
"36","Angela","Hela","Loki","Phoenix","Thor","Venom","Angela <- Loki; Hela <- Venom; Loki <- Hela; Phoenix <- Hela; Thor <- Hela, Angela; Venom <- Phoenix"
"37","Black Cat","Black Panther","Cloak & Dagger","Hawkeye","Magik","The Hood","Black Cat <- Black Panther; Black Panther <- Magik; Cloak & Dagger <- The Hood; Hawkeye <- Cloak & Dagger; Magik <- The Hood; The Hood <- Magik"
"38","Black Cat","Black Panther","Cloak & Dagger","Jubilee","Magik","The Hood","Black Cat <- Black Panther; Black Panther <- Magik; Cloak & Dagger <- The Hood; Jubilee <- The Hood; Magik <- The Hood; The Hood <- Magik, Jubilee"
"39","Black Cat","Black Panther","Cloak & Dagger","Magik","Moon Knight","The Hood","Black Cat <- Black Panther; Black Panther <- Magik; Cloak & Dagger <- The Hood; Magik <- The Hood; Moon Knight <- Cloak & Dagger; The Hood <- Magik"
"40","Black Cat","Black Panther","Cloak & Dagger","Magik","Peni Parker","The Hood","Black Cat <- Black Panther; Black Panther <- Magik; Cloak & Dagger <- The Hood; Magik <- The Hood; Peni Parker <- Black Panther; The Hood <- Magik"
"41","Black Cat","Black Panther","Cloak & Dagger","Magik","Psylocke","The Hood","Black Cat <- Black Panther; Black Panther <- Magik; Cloak & Dagger <- The Hood; Magik <- The Hood; Psylocke <- Cloak & Dagger; The Hood <- Magik"
"42","Black Cat","Black Panther","Cloak & Dagger","Magik","The Hood","White Fox","Black Cat <- Black Panther; Black Panther <- Magik; Cloak & Dagger <- The Hood; Magik <- The Hood; The Hood <- Magik; White Fox <- Black Cat"
"43","Black Cat","Black Panther","Gambit","Jubilee","Magik","The Hood","Black Cat <- Black Panther; Black Panther <- Magik; Gambit <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; The Hood <- Magik, Jubilee"
"44","Black Cat","Black Panther","Human Torch","Jubilee","Magik","The Hood","Black Cat <- Black Panther; Black Panther <- Magik; Human Torch <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; The Hood <- Magik, Jubilee"
